site_id,type,count
1,White Chert,11
1,Gray Chert,13
1,Obsidian,3
2,White Chert,14
2,Red Chert,6
3,White Chert,7
3,Red Chert,4
3,Gray Chert,9
3,Red/White Chert,3
3,Petrified Wood,5
4,White Chert,8
4,Red Chert,4
4,Gray Chert,3
4,Red/White Chert,4
4,Dacite,4
4,Obsidian,9
5,White Chert,5
5,Gray Chert,4
6,White Chert,11
6,Red Chert,4
6,Gray Chert,6
6,Red/White Chert,7
6,Yellow Chert,8
6,Dacite,3
6,Obsidian,9
6,Petrified Wood,4
7,White Chert,9
8,White Chert,5
8,Red Chert,3
8,Gray Chert,4
9,White Chert,10
9,Red Chert,3
9,Obsidian,5
10,White Chert,13
10,Red Chert,6
10,Gray Chert,4
10,Red/White Chert,4
10,Yellow Chert,2
10,Dacite,5
10,Obsidian,9
10,Petrified Wood,2
11,White Chert,18
11,Red Chert,5
11,Gray Chert,8
12,White Chert,12
12,Red Chert,9
12,Petrified Wood,8
13,White Chert,15
13,Red Chert,3
13,Yellow Chert,4
13,Dacite,3
13,Obsidian,9
14,White Chert,15
14,Red Chert,4
14,Dacite,4
14,Obsidian,8
15,White Chert,15
15,Red Chert,4
15,Gray Chert,4
15,Red/White Chert,3
15,Petrified Wood,6
16,White Chert,11
16,Red Chert,9
16,Gray Chert,2
16,Red/White Chert,5
16,Petrified Wood,3
17,White Chert,8
17,Red Chert,4
17,Gray Chert,3
17,Red/White Chert,5
17,Petrified Wood,9
18,White Chert,17
18,Red Chert,3
18,Petrified Wood,4
19,White Chert,9
19,Red Chert,7
19,Gray Chert,6
19,Red/White Chert,4
19,Petrified Wood,7
20,White Chert,9
20,Red Chert,8
20,Gray Chert,7
20,Red/White Chert,4
20,Petrified Wood,6
21,White Chert,7
21,Red Chert,11
21,Gray Chert,10
21,Petrified Wood,5
22,White Chert,4
22,Red Chert,14
22,Gray Chert,11
22,Petrified Wood,8
23,White Chert,16
23,Red Chert,5
23,Gray Chert,3
23,Red/White Chert,9
23,Obsidian,4
23,Petrified Wood,6
24,White Chert,8
24,Red Chert,6
24,Gray Chert,3
24,Red/White Chert,5
24,Petrified Wood,6
25,White Chert,17
25,Red Chert,5
25,Gray Chert,9
25,Red/White Chert,3
25,Obsidian,3
25,Petrified Wood,8
26,White Chert,6
26,Red Chert,5
26,Gray Chert,11
26,Red/White Chert,5
26,Dacite,4
26,Obsidian,4
26,Petrified Wood,8
27,White Chert,4
27,Red Chert,3
27,Gray Chert,2
27,Red/White Chert,4
27,Yellow Chert,4
27,Chinle Chert,4
28,White Chert,9
28,Red Chert,4
28,Gray Chert,6
28,Red/White Chert,3
28,Obsidian,3
28,Petrified Wood,6
29,White Chert,6
29,Red Chert,8
29,Gray Chert,4
29,Red/White Chert,5
29,Petrified Wood,3
30,White Chert,8
30,Red Chert,4
30,Gray Chert,4
30,Red/White Chert,2
30,Chinle Chert,2
30,Rhyolite,3
30,Obsidian,6
30,Petrified Wood,3
31,White Chert,11
31,Red Chert,3
31,Chinle Chert,2
31,Obsidian,11
32,White Chert,6
32,Red Chert,7
32,Gray Chert,8
32,Red/White Chert,4
32,Petrified Wood,9
33,White Chert,15
33,Red Chert,9
33,Gray Chert,5
33,Red/White Chert,6
33,Petrified Wood,10
34,White Chert,10
34,Red Chert,5
34,Gray Chert,8
34,Red/White Chert,7
34,Petrified Wood,8
35,White Chert,13
35,Red Chert,9
35,Gray Chert,7
35,Red/White Chert,2
35,Obsidian,5
36,White Chert,4
36,Red Chert,7
36,Gray Chert,8
36,Red/White Chert,5
36,Yellow Chert,6
36,Chinle Chert,8
37,White Chert,12
37,Red Chert,6
37,Gray Chert,5
